stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
12576,12576,"Addison & Sacramento","Addison & Sacramento, Westbound, Northeast Corner",41.94671522,-87.70282937,0,,1
12577,12577,"Addison & Albany","Addison & Albany, Westbound, Northeast Corner",41.94669488,-87.70520192,0,,1
12578,12578,"Addison & Kedzie","Addison & Kedzie, Westbound, Northeast Corner",41.94669988,-87.70769128,0,,1
12579,12579,"Addison & Elston","Addison & Elston, Westbound, Northwest Corner",41.94666952,-87.70908637,0,,1
12581,12581,"Addison & St. Louis","Addison & St. Louis, Westbound, Northeast Corner",41.9465937,-87.71506138,0,,1
12582,12582,"Addison Blue Line Station","Addison Blue Line Station, Westbound, Northside of the Street",41.9465882,-87.71841032,0,,1
12583,12583,"Addison & Lawndale/Avondale","Addison & Lawndale/Avondale, Westbound, Northwest Corner",41.94652374,-87.72037696,0,,1
12584,12584,"Addison & Hamlin","Addison & Hamlin, Westbound, Northeast Corner",41.94651977,-87.72232738,0,,1
12585,12585,"Addison & Springfield","Addison & Springfield, Westbound, Northeast Corner",41.94646708,-87.72482792,0,,1
12586,12586,"Addison & Pulaski","Addison & Pulaski, Westbound, Northeast Corner",41.94643977,-87.72726222,0,,1
12587,12587,"Addison & Karlov","Addison & Karlov, Westbound, Northside of the Street",41.94640131,-87.72906837,0,,1
12589,12589,"Addison & Keeler","Addison & Keeler, Westbound, Northeast Corner",41.94637704,-87.73214334,0,,1
12590,12590,"Addison & Milwaukee","Addison & Milwaukee, Westbound, Northeast Corner",41.94630338,-87.73546129,0,,1
12591,12591,"Addison & Kostner","Addison & Kostner, Westbound, Northside of the Street",41.9463062,-87.7371856,0,,1
12592,12592,"Addison & Kilbourn","Addison & Kilbourn, Westbound, Northeast Corner",41.94627847,-87.73925469,0,,1
12593,12593,"Addison & Kenton","Addison & Kenton, Westbound, Northside of the Street",41.94624875,-87.74199119,0,,1
12594,12594,"Addison & Kilpatrick","Addison & Kilpatrick, Westbound, Northeast Corner",41.94623548,-87.74441595,0,,1
12596,12596,"Addison & Lamon","Addison & Lamon, Westbound, Northeast Corner",41.94616812,-87.74941411,0,,1
12597,12597,"Addison & Lavergne","Addison & Lavergne, Westbound, Northeast Corner",41.94611879,-87.75185225,0,,1
12598,12598,"Addison & Leclaire","Addison & Leclaire, Westbound, Northeast Corner",41.94612064,-87.7543376,0,,1
12599,12599,"Addison & Laramie","Addison & Laramie, Westbound, Northeast Corner",41.9460168,-87.75675319,0,,1
12600,12600,"Addison & Lockwood","Addison & Lockwood, Westbound, Northeast Corner",41.94605279,-87.75925189,0,,1
12602,12602,"Addison & Linder","Addison & Linder, Westbound, Northeast Corner",41.94593366,-87.76422928,0,,1
12604,12604,"Addison & Major","Addison & Major, Westbound, Northeast Corner",41.94588564,-87.76903084,0,,1
12605,12605,"Addison & Menard","Addison & Menard, Westbound, Northeast Corner",41.94589257,-87.7715173,0,,1
12606,12606,"Addison & Marmora","Addison & Marmora, Westbound, Northeast Corner",41.94581642,-87.77398492,0,,1
12608,12608,"Addison & Meade","Addison & Meade, Westbound, Northeast Corner",41.94585259,-87.77883028,0,,1
12609,12609,"Addison & Melvina","Addison & Melvina, Westbound, Northeast Corner",41.94575459,-87.78122829,0,,1
12610,12610,"Addison & Mobile","Addison & Mobile, Westbound, Northeast Corner",41.94575258,-87.7837273,0,,1
12613,12613,"Addison & Neenah","Addison & Neenah, Westbound, Northside of the Street",41.94566022,-87.78995225,0,,1
12615,12615,"Addison & Normandy","Addison & Normandy, Westbound, Northside of the Street",41.94557786,-87.79342378,0,,1
12616,12616,"Addison & Oak Park","Addison & Oak Park, Westbound, Northeast Corner",41.94551493,-87.7958919,0,,1
12617,12617,"Addison & New England","Addison & New England, Westbound, Northeast Corner",41.94548491,-87.79829233,0,,1
12618,12618,"Addison & Sayre","Addison & Sayre, Westbound, Northeast Corner",41.94545023,-87.80066192,0,,1
12619,12619,"Addison & Nordica","Addison & Nordica, Westbound, Northeast Corner",41.94540153,-87.8032298,0,,1
12622,12622,"Addison & Octavia","Addison & Octavia, Westbound, Northeast Corner",41.94524859,-87.80932334,0,,1
12623,12623,"Addison & Oketo","Addison & Oketo, Westbound, Northeast Corner",41.9452661,-87.81173804,0,,1
12624,12624,"Addison & Olcott","Addison & Olcott, Westbound, Northeast Corner",41.94521888,-87.8141921,0,,1
12625,12625,"Addison & Oriole","Addison & Oriole, Westbound, Northeast Corner",41.94523245,-87.81666859,0,,1
12626,12626,"Addison & Overhill","Addison & Overhill, Westbound, Northeast Corner",41.94528658,-87.81946735,0,,1
12627,12627,"Addison & Ozanam","Addison & Ozanam, Westbound, Northeast Corner",41.94518556,-87.82165195,0,,1
12628,12628,"Addison & Forest Preserve Avenue","Addison & Forest Preserve Avenue, Westbound, Northeast Corner",41.94511567,-87.82511976,0,,1
12629,12629,"Addison & Page","Addison & Page, Westbound, Northeast Corner",41.94506984,-87.82764332,0,,1
12631,12631,"Addison & Paris","Addison & Paris, Westbound, Northeast Corner",41.94503207,-87.83023936,0,,1
12633,12633,"Addison & Pittsburgh","Addison & Pittsburgh, Westbound, Northeast Corner",41.94496676,-87.8326718,0,,1
12635,12635,"Addison & Pontiac","Addison & Pontiac, Westbound, Northeast Corner",41.94485096,-87.83511447,0,,1
